Bitcoin,BTC,"19726,26",https://coinmarketcap.com/currencies/bitcoin/
Ethereum,ETH,"1549,44",https://coinmarketcap.com/currencies/ethereum/
Tether,USDT,"1,00",https://coinmarketcap.com/currencies/tether/
USD Coin,USDC,"1,00",https://coinmarketcap.com/currencies/usd-coin/
BNB,BNB,"277,27",https://coinmarketcap.com/currencies/bnb/
Binance USD,BUSD,"0,9999",https://coinmarketcap.com/currencies/binance-usd/
Cardano,ADA,"0,494",https://coinmarketcap.com/currencies/cardano/
XRP,XRP,"0,3307",https://coinmarketcap.com/currencies/xrp/
Solana,SOL,"31,31",https://coinmarketcap.com/currencies/solana/
Polkadot,DOT,"7,27",https://coinmarketcap.com/currencies/polkadot-new/
Polkadot,DOT,"0,06",https://coinmarketcap.com/currencies/dogecoin/
Polkadot,DOT,"0,88",https://coinmarketcap.com/currencies/polygon/
Polkadot,DOT,"1,00",https://coinmarketcap.com/currencies/multi-collateral-dai/
Polkadot,DOT,"0,00",https://coinmarketcap.com/currencies/shiba-inu/
Polkadot,DOT,"0,06",https://coinmarketcap.com/currencies/tron/
Polkadot,DOT,"18,88",https://coinmarketcap.com/currencies/avalanche/
Polkadot,DOT,"5,17",https://coinmarketcap.com/currencies/unus-sed-leo/
Polkadot,DOT,"19745,30",https://coinmarketcap.com/currencies/wrapped-bitcoin/
Polkadot,DOT,"6,29",https://coinmarketcap.com/currencies/uniswap/
Polkadot,DOT,"31,93",https://coinmarketcap.com/currencies/ethereum-classic/
Polkadot,DOT,"59,47",https://coinmarketcap.com/currencies/litecoin/
Polkadot,DOT,"12,69",https://coinmarketcap.com/currencies/cosmos/
Polkadot,DOT,"26,03",https://coinmarketcap.com/currencies/ftx-token/
Polkadot,DOT,"6,87",https://coinmarketcap.com/currencies/chainlink/
Polkadot,DOT,"4,15",https://coinmarketcap.com/currencies/near-protocol/
Polkadot,DOT,"0,12",https://coinmarketcap.com/currencies/cronos/
Polkadot,DOT,"154,21",https://coinmarketcap.com/currencies/monero/
Polkadot,DOT,"0,11",https://coinmarketcap.com/currencies/stellar/
Polkadot,DOT,"117,00",https://coinmarketcap.com/currencies/bitcoin-cash/
Polkadot,DOT,"0,31",https://coinmarketcap.com/currencies/algorand/
Polkadot,DOT,"1,94",https://coinmarketcap.com/currencies/flow/
Polkadot,DOT,"0,02",https://coinmarketcap.com/currencies/vechain/
Polkadot,DOT,"6,24",https://coinmarketcap.com/currencies/filecoin/
Polkadot,DOT,"6,34",https://coinmarketcap.com/currencies/internet-computer/
Polkadot,DOT,"1,48",https://coinmarketcap.com/currencies/eos/
Polkadot,DOT,"0,79",https://coinmarketcap.com/currencies/decentraland/
Polkadot,DOT,"4,75",https://coinmarketcap.com/currencies/apecoin-ape/
Polkadot,DOT,"1,52",https://coinmarketcap.com/currencies/tezos/
